frame,time_s,champion,team,conf,x,y
6630,110.61,Ambessa,T1,0.689,0.4059,0.9418
6660,111.11,Ambessa,T1,0.688,0.4059,0.9418
6690,111.61,Ambessa,T1,0.685,0.4058,0.9419
6720,112.11,Ambessa,T1,0.684,0.4058,0.9419
6750,112.61,Ambessa,T1,0.561,0.4070,0.9411
6780,113.11,Ambessa,T1,0.567,0.4090,0.9413
6810,113.61,Ambessa,T1,0.412,0.4064,0.9403
6840,114.11,Ambessa,T1,0.690,0.4059,0.9419
6870,114.61,Ambessa,T1,0.682,0.4091,0.9419
6900,115.12,Ambessa,T1,0.667,0.4091,0.9418
6930,115.62,Ambessa,T1,0.627,0.4091,0.9416
6960,116.12,Ambessa,T1,0.590,0.4091,0.9416
6990,116.62,Ambessa,T1,0.646,0.4059,0.9421
7020,117.12,Ambessa,T1,0.658,0.4060,0.9423
7050,117.62,Ambessa,T1,0.678,0.4089,0.9424
7080,118.12,Ambessa,T1,0.686,0.4086,0.9422
7110,118.62,Ambessa,T1,0.679,0.4089,0.9422
7140,119.12,Ambessa,T1,0.669,0.4088,0.9421
7170,119.62,Ambessa,T1,0.702,0.4090,0.9422
7200,120.12,Ambessa,T1,0.614,0.4090,0.9417
7230,120.62,Ambessa,T1,0.661,0.4089,0.9420
7260,121.12,Ambessa,T1,0.699,0.4090,0.9423
7290,121.62,Ambessa,T1,0.730,0.4090,0.9426
7320,122.12,Rumble,KT,0.472,0.4058,0.6011
7350,122.62,Rumble,KT,0.500,0.4043,0.6010
7380,123.12,Rumble,KT,0.440,0.4052,0.6004
7410,123.62,Rumble,KT,0.444,0.4080,0.6006
7440,124.12,Rumble,KT,0.524,0.4049,0.6008
7470,124.62,Rumble,KT,0.500,0.4047,0.6005
7470,124.62,Ambessa,T1,0.360,0.4063,0.9416
7500,125.12,Rumble,KT,0.428,0.4088,0.6000
7530,125.63,Rumble,KT,0.542,0.4090,0.6008
7530,125.63,Ambessa,T1,0.397,0.4094,0.9421
7560,126.13,Rumble,KT,0.482,0.4071,0.6005
7560,126.13,Ambessa,T1,0.379,0.4085,0.9420
7590,126.63,Rumble,KT,0.489,0.4063,0.6006
7620,127.13,Rumble,KT,0.496,0.4069,0.6006
7650,127.63,Rumble,KT,0.630,0.4046,0.6013
7650,127.63,Ryze,KT,0.414,0.4066,0.9425
7680,128.13,Rumble,KT,0.647,0.4045,0.6013
7680,128.13,Ryze,KT,0.410,0.4066,0.9425
7710,128.63,Rumble,KT,0.644,0.4045,0.6013
7710,128.63,Ryze,KT,0.402,0.4066,0.9425
7740,129.13,Rumble,KT,0.646,0.4046,0.6013
7740,129.13,Ryze,KT,0.377,0.4065,0.9425
7770,129.63,Rumble,KT,0.648,0.4045,0.6012
7770,129.63,Ryze,KT,0.392,0.4065,0.9425
7800,130.13,Rumble,KT,0.645,0.4044,0.6012
7800,130.13,Ryze,KT,0.378,0.4065,0.9424
7830,130.63,Rumble,KT,0.641,0.4043,0.6011
7830,130.63,Ryze,KT,0.396,0.4066,0.9424
7860,131.13,Rumble,KT,0.647,0.4044,0.6012
7860,131.13,Ryze,KT,0.384,0.4066,0.9425
7890,131.63,Rumble,KT,0.645,0.4046,0.6013
7890,131.63,Ryze,KT,0.392,0.4066,0.9425
7920,132.13,Rumble,KT,0.646,0.4045,0.6013
7920,132.13,Ryze,KT,0.378,0.4065,0.9425
7950,132.63,Ambessa,T1,0.599,0.4059,0.9421
7950,132.63,Rumble,KT,0.386,0.4045,0.6012
7980,133.13,Ambessa,T1,0.567,0.4059,0.9420
7980,133.13,Rumble,KT,0.395,0.4046,0.6012
8010,133.63,Ambessa,T1,0.578,0.4059,0.9420
8010,133.63,Rumble,KT,0.408,0.4045,0.6012
8040,134.13,Ambessa,T1,0.594,0.4060,0.9420
8040,134.13,Rumble,KT,0.406,0.4044,0.6012
8070,134.63,Ambessa,T1,0.550,0.4072,0.9416
8070,134.63,Rumble,KT,0.353,0.4050,0.6008
8100,135.13,Ambessa,T1,0.595,0.4078,0.9420
8130,135.64,Ambessa,T1,0.539,0.4089,0.9414
8160,136.14,Ambessa,T1,0.531,0.4064,0.9413
8160,136.14,Rumble,KT,0.353,0.4043,0.6005
8190,136.64,Ambessa,T1,0.600,0.4060,0.9419
8190,136.64,Rumble,KT,0.401,0.4045,0.6012
8220,137.14,Ambessa,T1,0.580,0.4059,0.9419
8220,137.14,Rumble,KT,0.386,0.4044,0.6012
8250,137.64,Ambessa,T1,0.578,0.4059,0.9419
8250,137.64,Rumble,KT,0.390,0.4044,0.6012
8280,138.14,Ambessa,T1,0.536,0.4060,0.9421
8280,138.14,Rumble,KT,0.422,0.4046,0.6011
8310,138.64,Ambessa,T1,0.533,0.4060,0.9421
8310,138.64,Rumble,KT,0.424,0.4046,0.6011
8340,139.14,Ambessa,T1,0.572,0.4059,0.9421
8340,139.14,Rumble,KT,0.425,0.4046,0.6012
8370,139.64,Ambessa,T1,0.566,0.4059,0.9421
8370,139.64,Rumble,KT,0.426,0.4046,0.6012
8400,140.14,Ambessa,T1,0.575,0.4059,0.9421
8400,140.14,Rumble,KT,0.428,0.4046,0.6012
8430,140.64,Ambessa,T1,0.577,0.4059,0.9421
8430,140.64,Rumble,KT,0.431,0.4046,0.6012
8460,141.14,Ambessa,T1,0.577,0.4059,0.9421
8460,141.14,Rumble,KT,0.430,0.4046,0.6012
8490,141.64,Ambessa,T1,0.567,0.4059,0.9421
8490,141.64,Rumble,KT,0.431,0.4046,0.6012
8640,144.14,Rumble,KT,0.351,0.4038,0.6012
8700,145.15,Rumble,KT,0.352,0.4039,0.6012
8760,146.15,Rumble,KT,0.355,0.4038,0.6012
8940,149.15,Ambessa,T1,0.723,0.4061,0.9424
8940,149.15,Rumble,KT,0.421,0.4048,0.6012
8970,149.65,Ambessa,T1,0.716,0.4061,0.9423
8970,149.65,Rumble,KT,0.425,0.4047,0.6011
9000,150.15,Ambessa,T1,0.721,0.4061,0.9424
9000,150.15,Rumble,KT,0.439,0.4048,0.6012
9030,150.65,Ambessa,T1,0.713,0.4060,0.9423
9030,150.65,Rumble,KT,0.441,0.4047,0.6012
9060,151.15,Ambessa,T1,0.706,0.4061,0.9423
9060,151.15,Rumble,KT,0.434,0.4047,0.6012
9090,151.65,Ambessa,T1,0.706,0.4060,0.9422
9090,151.65,Rumble,KT,0.441,0.4045,0.6011
9120,152.15,Rumble,KT,0.448,0.4046,0.6012
9120,152.15,Ambessa,T1,0.420,0.4061,0.9424
9150,152.65,Rumble,KT,0.445,0.4046,0.6012
9150,152.65,Ambessa,T1,0.403,0.4060,0.9426
9180,153.15,Ambessa,T1,0.702,0.4060,0.9424
9180,153.15,Rumble,KT,0.439,0.4046,0.6011
9210,153.65,Ambessa,T1,0.701,0.4068,0.9424
9210,153.65,Rumble,KT,0.420,0.4050,0.6010
9240,154.15,Ambessa,T1,0.610,0.4064,0.9422
9240,154.15,Rumble,KT,0.403,0.4046,0.6010
9270,154.65,Ambessa,T1,0.415,0.4089,0.9426
9270,154.65,Rumble,KT,0.402,0.4069,0.6009
9300,155.16,Rumble,KT,0.450,0.4091,0.6009
9300,155.16,Ambessa,T1,0.396,0.4092,0.9425
9330,155.66,Ambessa,T1,0.398,0.4092,0.9426
9330,155.66,Rumble,KT,0.355,0.4092,0.6009
9360,156.16,Rumble,KT,0.711,0.4085,0.6009
9360,156.16,Ryze,KT,0.459,0.4096,0.9430
9390,156.66,Rumble,KT,0.666,0.4046,0.6010
9420,157.16,Rumble,KT,0.680,0.4043,0.6010
9450,157.66,Rumble,KT,0.669,0.4047,0.6009
9480,158.16,Rumble,KT,0.555,0.4045,0.6008
9510,158.66,Rumble,KT,0.605,0.4047,0.6007
9540,159.16,Rumble,KT,0.624,0.4044,0.6007
9570,159.66,Rumble,KT,0.610,0.4045,0.6004
9600,160.16,Rumble,KT,0.602,0.4044,0.6007
9630,160.66,Rumble,KT,0.623,0.4045,0.6008
9660,161.16,Rumble,KT,0.624,0.4045,0.6008
9690,161.66,Rumble,KT,0.625,0.4044,0.6008
9720,162.16,Rumble,KT,0.685,0.4043,0.6010
9720,162.16,Ambessa,T1,0.437,0.4060,0.9420
9750,162.66,Rumble,KT,0.691,0.4045,0.6010
9780,163.16,Rumble,KT,0.520,0.4042,0.5970
9810,163.66,Rumble,KT,0.450,0.4047,0.5971
9840,164.16,Ambessa,T1,0.795,0.4057,0.9420
9840,164.16,Rumble,KT,0.655,0.4046,0.6010
9870,164.66,Ambessa,T1,0.352,0.4058,0.9420
9960,166.17,Ambessa,T1,0.805,0.4060,0.9423
9990,166.67,Ambessa,T1,0.771,0.4060,0.9424
10080,168.17,Ambessa,T1,0.885,0.4060,0.9422
10110,168.67,Ambessa,T1,0.782,0.4060,0.9422
10200,170.17,Ambessa,T1,0.851,0.4059,0.9422
10200,170.17,Rumble,KT,0.374,0.4045,0.6012
10230,170.67,Ambessa,T1,0.811,0.4057,0.9421
10230,170.67,Rumble,KT,0.391,0.4044,0.6013
10320,172.17,Ambessa,T1,0.839,0.4058,0.9422
10320,172.17,Rumble,KT,0.378,0.4047,0.6014
10350,172.67,Ambessa,T1,0.808,0.4058,0.9420
10350,172.67,Rumble,KT,0.419,0.4047,0.6013
10440,174.17,Ambessa,T1,0.804,0.4061,0.9418
10470,174.67,Ambessa,T1,0.729,0.4058,0.9419
10500,175.18,Ambessa,T1,0.352,0.4053,0.9382
10530,175.68,Ambessa,T1,0.350,0.4082,0.9381
10560,176.18,Ambessa,T1,0.708,0.4061,0.9405
10590,176.68,Ambessa,T1,0.753,0.4071,0.9413
10620,177.18,Ambessa,T1,0.474,0.4056,0.9382
10650,177.68,Ambessa,T1,0.467,0.4069,0.9400
10680,178.18,Ambessa,T1,0.663,0.4099,0.9409
10710,178.68,Ambessa,T1,0.668,0.4098,0.9411
10740,179.18,Ambessa,T1,0.694,0.4086,0.9406
10770,179.68,Ambessa,T1,0.538,0.4099,0.9412
10770,179.68,Ryze,KT,0.369,0.4105,0.9426
10830,180.68,Rumble,KT,0.356,0.5561,0.5989
10890,181.68,Rumble,KT,0.366,0.5561,0.5987
10920,182.18,Rumble,KT,0.375,0.5561,0.5988
10950,182.68,Rumble,KT,0.371,0.5560,0.5989
10980,183.18,Rumble,KT,0.403,0.5561,0.5988
11010,183.68,Rumble,KT,0.403,0.5560,0.5988
11040,184.18,Rumble,KT,0.420,0.5558,0.5990
11070,184.68,Ryze,KT,0.810,0.4167,0.9423
11070,184.68,Rumble,KT,0.488,0.4205,0.5991
11100,185.19,Rumble,KT,0.721,0.4106,0.6008
11100,185.19,Ryze,KT,0.688,0.4098,0.9429
11130,185.69,Rumble,KT,0.717,0.4096,0.6008
11130,185.69,Ryze,KT,0.668,0.4098,0.9427
11160,186.19,Rumble,KT,0.724,0.4095,0.6009
11160,186.19,Ryze,KT,0.657,0.4098,0.9427
11190,186.69,Rumble,KT,0.714,0.4093,0.6011
11190,186.69,Ryze,KT,0.523,0.4097,0.9426
11220,187.19,Rumble,KT,0.714,0.4093,0.6011
11220,187.19,Ryze,KT,0.522,0.4097,0.9426
11250,187.69,Ambessa,T1,0.393,0.4096,0.9421
11250,187.69,Rumble,KT,0.368,0.4092,0.6004
11280,188.19,Ambessa,T1,0.390,0.4096,0.9420
11280,188.19,Rumble,KT,0.369,0.4092,0.6004
11310,188.69,Ambessa,T1,0.388,0.4096,0.9420
11310,188.69,Rumble,KT,0.367,0.4092,0.6003
11340,189.19,Ambessa,T1,0.383,0.4096,0.9420
11340,189.19,Rumble,KT,0.367,0.4092,0.6003
11370,189.69,Ambessa,T1,0.383,0.4096,0.9420
11370,189.69,Rumble,KT,0.366,0.4092,0.6003
11400,190.19,Ambessa,T1,0.379,0.4096,0.9420
11400,190.19,Rumble,KT,0.366,0.4092,0.6003
11430,190.69,Ambessa,T1,0.379,0.4096,0.9420
11430,190.69,Rumble,KT,0.366,0.4094,0.6002
11460,191.19,Ambessa,T1,0.366,0.4096,0.9420
11460,191.19,Rumble,KT,0.361,0.4094,0.6002
11490,191.69,Ambessa,T1,0.369,0.4096,0.9420
11490,191.69,Rumble,KT,0.362,0.4094,0.6002
11520,192.19,Rumble,KT,0.738,0.4094,0.6005
11520,192.19,Ryze,KT,0.641,0.4101,0.9430
11550,192.69,Rumble,KT,0.737,0.4095,0.6005
11550,192.69,Ryze,KT,0.638,0.4101,0.9430
11580,193.19,Rumble,KT,0.737,0.4095,0.6005
11580,193.19,Ryze,KT,0.638,0.4101,0.9429
11610,193.69,Rumble,KT,0.726,0.4096,0.6004
